Marke,Modell,Farbe,Speicher,Display_Inches,Display_CM,Mobilfunk,Rueckkamera,Frontkamera,Modelljahr,Gesichtserkennung,Produkt,Kategorie_Farbe,Med_Preis,Gal_Preis,Med_Gesamtkundenbewertung,Med_Anzahl_Kundenbewertung,Gal_Markenanteil,Gal_Mobilfunkanteil,Preisdifferenz
Apple,iPhone 14 Pro Max,DeepPurple,128.0,6.7,17.0,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro Max,rest,1125.0,1129.0,4.0,9.0,16.29,59.04,4.0
Apple,iPhone 14,Blue,128.0,6.1,15.5,5G, 12 ,12.0,2022,1.0,Apple iPhone 14,rest,773.0,773.0,4.0,9.0,16.29,59.04,0.0
Samsung,Galaxy A54 5G,AwesomeGraphite,256.0,6.4,16.3,5G, 50 ,32.0,0,0.0,Samsung Galaxy A54 5G,rest,499.95,499.0,0.0,0.0,17.6,59.04,-0.9499999999999886
Samsung,Galaxy S21 FE 5G,Lavender,128.0,6.4,16.3,5G, 12 ,32.0,2022,1.0,Samsung Galaxy S21 FE 5G,rest,629.0,506.6,4.0,20.0,17.6,59.04,-122.39999999999998
Apple,iPhone 14 Pro Max,Silver,256.0,6.7,17.0,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro Max,rest,1269.0,1269.0,5.0,3.0,16.29,59.04,0.0
Apple,iPhone 14 Pro Max,Silver,128.0,6.7,17.0,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro Max,rest,1125.0,1137.0,5.0,2.0,16.29,59.04,12.0
Xiaomi,Redmi 9C,MidnightGrey,128.0,6.53,16.6,4G, 13 ,5.0,2020,1.0,Xiaomi Redmi 9C,rest,129.95,122.0,5.0,1.0,18.3,39.02,-7.949999999999989
Apple,iPhone 12,Black,64.0,6.1,15.5,5G, 12 ,12.0,2020,1.0,Apple iPhone 12,schwarz,614.0,599.0,4.0,15.0,16.29,59.04,-15.0
Apple,iPhone 14,Purple,256.0,6.1,15.5,5G, 12 ,12.0,2022,1.0,Apple iPhone 14,rest,919.0,925.0,5.0,2.0,16.29,59.04,6.0
Apple,iPhone 14,Purple,256.0,6.1,15.5,5G, 12 ,12.0,2022,1.0,Apple iPhone 14,rest,919.0,925.0,5.0,2.0,16.29,59.04,6.0
Apple,iPhone 14 Pro,Gold,128.0,6.1,15.5,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro,rest,1029.0,1029.0,4.0,5.0,16.29,59.04,0.0
Apple,iPhone 14 Plus,Purple,128.0,6.7,17.0,5G, 12 ,12.0,2022,1.0,Apple iPhone 14 Plus,rest,899.0,879.0,5.0,5.0,16.29,59.04,-20.0
Apple,iPhone 13 mini,Starlight,128.0,5.4,13.7,5G, 12 ,12.0,2021,1.0,Apple iPhone 13 mini,rest,629.0,629.0,4.0,12.0,16.29,59.04,0.0
Apple,iPhone 13 mini,Pink,128.0,5.4,13.7,5G, 12 ,12.0,2021,1.0,Apple iPhone 13 mini,rest,639.0,629.0,4.0,7.0,16.29,59.04,-10.0
Samsung,Galaxy S23 Ultra,PhantomBlack,512.0,6.8,17.3,5G, 200 ,12.0,2023,1.0,Samsung Galaxy S23 Ultra,schwarz,1499.0,1499.0,4.0,44.0,17.6,59.04,0.0
Apple,iPhone 14 Plus,Blue,128.0,6.7,17.0,5G, 12 ,12.0,2022,1.0,Apple iPhone 14 Plus,rest,913.0,914.0,5.0,5.0,16.29,59.04,1.0
Apple,iPhone 14 Plus,Midnight,128.0,6.7,17.0,5G, 12 ,12.0,2022,1.0,Apple iPhone 14 Plus,rest,945.0,919.0,4.0,4.0,16.29,59.04,-26.0
Apple,iPhone 13,Midnight,256.0,6.1,15.5,5G, 12 ,12.0,2021,1.0,Apple iPhone 13,rest,879.0,844.0,4.0,10.0,16.29,59.04,-35.0
Apple,iPhone 14 Pro,Silver,128.0,6.1,15.5,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro,rest,1029.0,1029.0,4.0,5.0,16.29,59.04,0.0
Apple,iPhone 14 Pro,Gold,256.0,6.1,15.5,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro,rest,1129.0,1125.0,3.0,4.0,16.29,59.04,-4.0
Apple,iPhone 14,Starlight,256.0,6.1,15.5,5G, 12 ,12.0,2022,1.0,Apple iPhone 14,rest,959.0,923.0,5.0,4.0,16.29,59.04,-36.0
Samsung,Galaxy S23,PhantomBlack,256.0,6.1,15.5,5G, 50 ,12.0,2023,1.0,Samsung Galaxy S23,schwarz,949.0,949.0,4.0,10.0,17.6,59.04,0.0
Apple,iPhone 14 Plus,Starlight,128.0,6.7,17.0,5G, 12 ,12.0,2022,1.0,Apple iPhone 14 Plus,rest,919.0,935.0,5.0,4.0,16.29,59.04,16.0
Apple,iPhone 14 Pro Max,SpaceBlack,512.0,6.7,17.0,5G, 48 ,12.0,2022,1.0,Apple iPhone 14 Pro Max,schwarz,1469.0,1469.0,5.0,2.0,16.29,59.04,0.0
Samsung,Galaxy A34 5G,AwesomeGraphite,128.0,6.6,16.8,5G, 48 ,13.0,0,0.0,Samsung Galaxy A34 5G,rest,369.95,369.0,0.0,0.0,17.6,59.04,-0.9499999999999886
Samsung,Galaxy S21 FE 5G,White,128.0,6.4,16.3,5G, 12 ,32.0,2022,1.0,Samsung Galaxy S21 FE 5G,weiss,699.0,596.0,4.0,20.0,17.6,59.04,-103.0
Apple,iPhone 12,Green,64.0,6.1,15.5,5G, 12 ,12.0,2020,1.0,Apple iPhone 12,rest,614.0,599.0,4.0,4.0,16.29,59.04,-15.0
Apple,iPhone 14,Starlight,512.0,6.1,15.5,5G, 12 ,12.0,2022,1.0,Apple iPhone 14,rest,1269.0,1135.0,0.0,0.0,16.29,59.04,-134.0
Apple,iPhone 14,Yellow,128.0,6.1,15.5,5G, 12 ,12.0,2022,1.0,Apple iPhone 14,rest,819.0,789.0,4.0,4.0,16.29,59.04,-30.0
Samsung,Galaxy A54 5G,AwesomeGraphite,128.0,6.4,16.3,5G, 50 ,32.0,0,0.0,Samsung Galaxy A54 5G,rest,459.95,459.0,0.0,0.0,17.6,59.04,-0.9499999999999886
Apple,iPhone 12,Blue,64.0,6.1,15.5,5G, 12 ,12.0,2020,1.0,Apple iPhone 12,rest,614.0,599.0,4.0,11.0,16.29,59.04,-15.0
Samsung,Galaxy A54 5G,AwesomeLime,256.0,6.4,16.3,5G, 50 ,32.0,0,0.0,Samsung Galaxy A54 5G,rest,529.0,499.0,0.0,0.0,17.6,59.04,-30.0
Samsung,Galaxy Z Flip4,BoraPurple,256.0,6.7,17.0,5G, 12 ,10.0,2022,1.0,Samsung Galaxy Z Flip4,rest,1039.0,999.0,4.0,16.0,17.6,59.04,-40.0
Apple,iPhone 13,Blue,256.0,6.1,15.5,5G, 12 ,12.0,2021,1.0,Apple iPhone 13,rest,838.0,838.0,5.0,9.0,16.29,59.04,0.0
Apple,iPhone 14,Blue,256.0,6.1,15.5,5G, 12 ,12.0,2022,1.0,Apple iPhone 14,rest,959.0,925.0,5.0,2.0,16.29,59.04,-34.0
Samsung,Galaxy A14 5G,LimeGreen,128.0,6.6,16.8,5G, 50 ,13.0,0,0.0,Samsung Galaxy A14 5G,rest,239.95,239.0,0.0,0.0,17.6,59.04,-0.9499999999999886
