Url,Med_Preis,Modelname,GTIN,Farbe,Rückkamera_MP,Front_Kamera_MP,Displaygrösse_Inches,Speicherkapazität_GB,Gesichtserkennung,Modelljahr,Marke,Gesamtkundenbewertung,Anzahl_Kundenbewertung,Displaygrösse_CM,Med_Preis_Exkl_Mwst
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-2151060.html,1129.0,iPhone 14 Pro,MQ103ZD/A,Silver,48,12,6.1,256,1,2022,apple,5.0,1,15.5,1042.0
https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091433.html,719.0,iPhone 13,MLPH3ZD/A,Pink,12,12,6.1,128,1,2021,apple,5.0,15,15.5,664.0
https://www.mediamarkt.ch/de/product/_apple-iphone-se-2022-2118897.html,467.95,iPhone SE (2022),MMXF3ZD/A,Midnight,12,7,4.7,64,0,0,apple,0.0,0,11.9,432.0
https://www.mediamarkt.ch/de/product/_apple-iphone-13-mini-2091375.html,621.0,iPhone 13 mini,MLK43ZD/A,Blue,12,12,5.4,128,1,2021,apple,4.0,10,13.7,573.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-max-2151077.html,1269.0,iPhone 14 Pro Max,MQ9W3ZD/A,Gold,48,12,6.7,256,1,2022,apple,5.0,6,17.0,1171.0
https://www.mediamarkt.ch/de/product/_apple-iphone-11-2020-2028727.html,519.0,iPhone 11 (2020),MHDH3ZD/A,Black,12,12,6.1,128,1,2020,apple,4.0,47,15.5,479.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-max-2151074.html,1125.0,iPhone 14 Pro Max,MQ9T3ZD/A,Deep Purple,48,12,6.7,128,1,2022,apple,4.0,9,17.0,1038.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151029.html,773.0,iPhone 14,MPVN3ZD/A,Blue,12,12,6.1,128,1,2022,apple,4.0,9,15.5,713.0
https://www.mediamarkt.ch/de/product/_wiko-y52-2127285.html,79.7,Y52,WIKY52WK521DEBST,Deep Blue,5,0,5.0,16,1,2021,wiko,2.0,1,12.7,74.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-a54-5g-2176862.html,499.95,Galaxy A54 5G,SM-A546BZKDEUE,Awesome Graphite,50,32,6.4,256,0,0,samsung,0.0,0,16.3,461.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s21-fe-5g-2105602.html,629.0,Galaxy S21 FE 5G,SM-G990BLVDEUC,Lavender,12,32,6.4,128,1,2022,samsung,4.0,20,16.3,581.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s22-5g-2109370.html,699.0,Galaxy S22 5G,SM-S901BZKDEUE,Phantom Black,50,10,6.1,128,1,2022,samsung,3.0,53,15.5,645.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-max-2151076.html,1269.0,iPhone 14 Pro Max,MQ9V3ZD/A,Silver,48,12,6.7,256,1,2022,apple,5.0,3,17.0,1171.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-max-2151072.html,1125.0,iPhone 14 Pro Max,MQ9Q3ZD/A,Silver,48,12,6.7,128,1,2022,apple,5.0,2,17.0,1038.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-a14-5g-2173973.html,239.95,Galaxy A14 5G,SM-A146PZKGEUE,Schwarz,50,13,6.6,128,0,0,samsung,0.0,0,16.8,221.0
https://www.mediamarkt.ch/de/product/_xiaomi-redmi-9c-2106521.html,129.95,Redmi 9C,MZB09YFEU,Midnight Grey,13,5,6.53,128,1,2020,xiaomi,5.0,1,16.6,120.0
https://www.mediamarkt.ch/de/product/_apple-iphone-se-2022-2118902.html,529.0,iPhone SE (2022),MMXJ3ZD/A,Midnight,12,7,4.7,128,0,0,apple,0.0,0,11.9,488.0
https://www.mediamarkt.ch/de/product/_apple-iphone-12-2028624.html,614.0,iPhone 12,MGJ53ZD/A,Black,12,12,6.1,64,1,2020,apple,4.0,15,15.5,567.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151032.html,919.0,iPhone 14,MPWA3ZD/A,Purple,12,12,6.1,256,1,2022,apple,5.0,2,15.5,848.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-2151057.html,1029.0,iPhone 14 Pro,MQ083ZD/A,Gold,48,12,6.1,128,1,2022,apple,4.0,5,15.5,950.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-xcover-5-enterprise-edition-2060202.html,219.95,Galaxy XCover 5,SM-G525FZKDEEC,Schwarz,16,5,5.3,64,1,2021,samsung,4.0,4,13.5,203.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151042.html,899.0,iPhone 14 Plus,MQ503ZD/A,Purple,12,12,6.7,128,1,2022,apple,5.0,5,17.0,830.0
https://www.mediamarkt.ch/de/product/_apple-iphone-13-mini-2091369.html,629.0,iPhone 13 mini,MLK13ZD/A,Starlight,12,12,5.4,128,1,2021,apple,4.0,12,13.7,581.0
https://www.mediamarkt.ch/de/product/_apple-iphone-13-mini-2091372.html,599.0,iPhone 13 mini,MLK33ZD/A,(PRODUCT)RED,12,12,5.4,128,1,2021,apple,4.0,10,13.7,553.0
https://www.mediamarkt.ch/de/product/_apple-iphone-13-mini-2091371.html,639.0,iPhone 13 mini,MLK23ZD/A,Pink,12,12,5.4,128,1,2021,apple,4.0,7,13.7,590.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s22-5g-2109368.html,759.0,Galaxy S22 5G,SM-S901BIDDEUE,Pink Gold,50,10,6.1,128,1,2022,samsung,3.0,52,15.5,701.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-ultra-2167391.html,1499.0,Galaxy S23 Ultra,SM-S918BZKHEUE,Phantom Black,200,12,6.8,512,1,2023,samsung,4.0,44,17.3,1384.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s22-5g-2109372.html,678.0,Galaxy S22 5G,SM-S901BIDGEUE,Pink Gold,50,10,6.1,256,1,2022,samsung,3.0,50,15.5,626.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151044.html,913.0,iPhone 14 Plus,MQ523ZD/A,Blue,12,12,6.7,128,1,2022,apple,5.0,5,17.0,843.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151040.html,945.0,iPhone 14 Plus,MQ4X3ZD/A,Midnight,12,12,6.7,128,1,2022,apple,4.0,4,17.0,872.0
https://www.mediamarkt.ch/de/product/_apple-iphone-13-2091349.html,879.0,iPhone 13,MLQ63ZD/A,Midnight,12,12,6.1,256,1,2021,apple,4.0,10,15.5,811.0
https://www.mediamarkt.ch/de/product/_apple-iphone-11-2020-2028719.html,429.0,iPhone 11 (2020),MHDC3ZD/A,White,12,12,6.1,64,1,2020,apple,4.0,20,15.5,396.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-2151056.html,1029.0,iPhone 14 Pro,MQ023ZD/A,Silver,48,12,6.1,128,1,2022,apple,4.0,5,15.5,950.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-2151061.html,1129.0,iPhone 14 Pro,MQ183ZD/A,Gold,48,12,6.1,256,1,2022,apple,3.0,4,15.5,1042.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-2151031.html,959.0,iPhone 14,MPW43ZD/A,Starlight,12,12,6.1,256,1,2022,apple,5.0,4,15.5,885.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s23-2167365.html,949.0,Galaxy S23,SM-S911BZKGEUE,Phantom Black,50,12,6.1,256,1,2023,samsung,4.0,10,15.5,876.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-s22-5g-2109369.html,759.0,Galaxy S22 5G,SM-S901BZGDEUE,Green,50,10,6.1,128,1,2022,samsung,3.0,52,15.5,701.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-plus-2151041.html,919.0,iPhone 14 Plus,MQ4Y3ZD/A,Starlight,12,12,6.7,128,1,2022,apple,5.0,4,17.0,848.0
https://www.mediamarkt.ch/de/product/_apple-iphone-14-pro-max-2151079.html,1469.0,iPhone 14 Pro Max,MQAF3ZD/A,Space Black,48,12,6.7,512,1,2022,apple,5.0,2,17.0,1356.0
https://www.mediamarkt.ch/de/product/_samsung-galaxy-a34-5g-2173976.html,369.95,Galaxy A34 5G,SM-A346BZKAEUE,Awesome Graphite,48,13,6.6,128,0,0,samsung,0.0,0,16.8,341.0
